method,time
RSR,0.00025582313537597656
Standard,0.0002627372741699219
RSR,0.00018167495727539062
Standard,0.00041662499925825534
RSR,0.00021004676818847656
Standard,0.0004527568817138672
RSR,0.0003204345703125
Standard,0.0004119873046875
RSR,0.0001964569091796875
Standard,0.0003643035888671875
RSR,0.0002624988555908203
Standard,0.00041866302490234375
RSR,0.00021958351135253906
Standard,0.0003418922424316406
RSR,0.0001895427703857422
Standard,0.0005582559339933458
RSR,0.00017690658569335938
Standard,0.000786974943903029
RSR,0.00021004676818847656
Standard,0.00032401084899902344
RSR,0.00021982192993164062
Standard,0.00034332275390625
RSR,0.0002167224884033203
Standard,0.0008900166825887911
RSR,0.00022363662719726562
Standard,0.0002951622009277344
RSR,0.000225067138671875
Standard,0.0003604888916015625
RSR,0.00020742416381835938
Standard,0.0003135204315185547
RSR,0.0001838207244873047
Standard,0.00035500526428222656
RSR,0.0002105236053466797
Standard,0.00010180473327636719
RSR,0.0002052783966064453
Standard,0.0003299713134765625
RSR,0.00021505355834960938
Standard,0.00041747093200683594
RSR,0.00019502639770507812
Standard,0.000180874854096998
RSR,0.00019931793212890625
Standard,0.0003237724304199219
RSR,0.0002734661102294922
Standard,0.0003254413604736328
RSR,0.00019121170043945312
Standard,0.0006558374843287047
RSR,0.0002129077911376953
Standard,0.0003802776336669922
RSR,0.00023674964904785156
Standard,0.00033020973205566406
RSR,0.000209808349609375
Standard,0.0002980232238769531
RSR,0.0002033710479736328
Standard,0.00038051605224609375
RSR,0.00021195411682128906
Standard,0.0003037452697753906
RSR,0.0001823902130126953
Standard,9.25075567274396e-05
RSR,0.00018739700317382812
Standard,0.00026988983154296875
RSR,0.000209808349609375
Standard,0.0003981590270996094
RSR,0.0002086162567138672
Standard,0.0007242660177362841
RSR,0.0002028942108154297
Standard,0.0009689411164155109
RSR,0.000209808349609375
Standard,0.0003590583801269531
RSR,0.00023365020751953125
Standard,0.0005258860625642346
RSR,0.00019288063049316406
Standard,0.0005317293655311172
RSR,0.0001838207244873047
Standard,0.00037941435862347804
RSR,0.00021314620971679688
Standard,0.0003237724304199219
RSR,0.00020003318786621094
Standard,0.000503182738358454
RSR,0.000263214111328125
Standard,0.00038123130798339844
RSR,0.00021409988403320312
Standard,0.0003371238708496094
RSR,0.0001952648162841797
Standard,0.0003666877746582031
RSR,0.000209808349609375
Standard,0.0009451514095386311
RSR,0.0001938343048095703
Standard,0.0004229545593261719
RSR,0.00022840499877929688
Standard,0.00036597251892089844
RSR,0.0001983642578125
Standard,9.465217590332031e-05
RSR,0.00020170211791992188
Standard,0.00031447410583496094
RSR,0.0001971721649169922
Standard,0.0003452301025390625
RSR,0.00021338462829589844
Standard,0.0007349510322345792
RSR,0.00018334388732910156
Standard,0.00030422210693359375
RSR,0.00017952919006347656
Standard,0.0007041927153905311
RSR,0.0002048015594482422
Standard,0.0004265308380126953
RSR,0.00019598007202148438
Standard,0.0002951622009277344
RSR,0.0002193450927734375
Standard,0.00033020973205566406
RSR,0.00020599365234375
Standard,0.0003380775451660156
RSR,0.0001976490020751953
Standard,0.000396728515625
RSR,0.0001780986785888672
Standard,0.0002834796905517578
RSR,0.0001804828643798828
Standard,0.00039210856880982314
RSR,0.00021600723266601562
Standard,0.00033679982903538953
RSR,0.00022125244140625
Standard,0.0003383159637451172
RSR,0.0002315044403076172
Standard,0.00033736228942871094
RSR,0.00020599365234375
Standard,0.0003814697265625
RSR,0.00020241737365722656
Standard,0.0003368854522705078
RSR,0.0001900196075439453
Standard,0.0003757476806640625
RSR,0.00020384788513183594
Standard,9.107589721679688e-05
RSR,0.00020432472229003906
Standard,9.131431579589844e-05
RSR,0.00021123886108398438
Standard,0.0003333091735839844
RSR,0.0002186298370361328
Standard,0.0007860164422358413
RSR,0.00019788742065429688
Standard,0.00034915766134055004
RSR,0.00021266937255859375
Standard,0.0003402233123779297
RSR,0.0001785755157470703
Standard,0.00012584471335950687
RSR,0.000232696533203125
Standard,0.00037288665771484375
RSR,0.00021076202392578125
Standard,0.0003490447998046875
RSR,0.0002028942108154297
Standard,0.00031065940856933594
RSR,0.00021219253540039062
Standard,0.0003314018249511719
RSR,0.00022554397583007812
Standard,0.00032329559326171875
RSR,0.0001952648162841797
Standard,0.0003256797790527344
RSR,0.00019931793212890625
Standard,0.0003285408020019531
RSR,0.00017833709716796875
Standard,0.00039681582080006394
RSR,0.00019860267639160156
Standard,0.0003943443298339844
RSR,0.00020384788513183594
Standard,0.00030803680419921875
RSR,0.0002014636993408203
Standard,0.00032901763916015625
RSR,0.00020575523376464844
Standard,0.00030422210693359375
RSR,0.00020575523376464844
Standard,0.0004391670227050781
RSR,0.00021457672119140625
Standard,0.0003154277801513672
RSR,0.00018310546875
Standard,0.0009326473299156548
RSR,0.0001919269561767578
Standard,0.0007574257544909278
RSR,0.0002155303955078125
Standard,0.00036072731018066406
RSR,0.00019788742065429688
Standard,0.00029349327087402344
RSR,0.000217437744140625
Standard,0.0003612041473388672
RSR,0.00019884109497070312
Standard,0.0003521442413330078
RSR,0.0002105236053466797
Standard,0.0003330707550048828
RSR,0.00018286705017089844
Standard,0.00028133392333984375
RSR,0.00022792816162109375
Standard,0.00037670135498046875
RSR,0.0002014636993408203
Standard,0.00036525726318359375
RSR,0.0002129077911376953
Standard,0.0003952980041503906
RSR,0.00020360946655273438
Standard,0.0005089088190239099
RSR,0.00021791458129882812
Standard,0.00039696693420410156
RSR,0.00019621849060058594
Standard,0.0003151893615722656
RSR,0.0001964569091796875
Standard,0.00034332275390625
RSR,0.00021195411682128906
Standard,0.0004048347473144531
RSR,0.00020575523376464844
Standard,0.0003154277801513672
RSR,0.00022792816162109375
Standard,0.00032591819763183594
RSR,0.00021409988403320312
Standard,0.00029540061950683594
RSR,0.0002276897430419922
Standard,0.0004010200500488281
RSR,0.0001850128173828125
Standard,0.000278472900390625
RSR,0.0002028942108154297
Standard,0.0002837181091308594
RSR,0.00024008750915527344
Standard,0.0004062652587890625
RSR,0.00020456314086914062
Standard,0.00032138824462890625
RSR,0.00020051002502441406
Standard,0.0003204345703125
RSR,0.0002193450927734375
Standard,0.000494254698405
RSR,0.0001971721649169922
Standard,6.606000705138781e-05
RSR,0.0002491474151611328
Standard,0.0003829002380371094
RSR,0.000194549560546875
Standard,7.944547067643592e-05
RSR,0.0002460479736328125
Standard,0.00032019615173339844
RSR,0.0001995563507080078
Standard,0.0008310954533417265
RSR,0.00020241737365722656
Standard,0.0003764629364013672
RSR,0.00025844573974609375
Standard,0.0003809928894042969
RSR,0.0001952648162841797
Standard,0.00032782554626464844
RSR,0.00019788742065429688
Standard,0.0003306865692138672
RSR,0.00020003318786621094
Standard,0.0003209114074707031
RSR,0.00023102760314941406
Standard,0.0003254413604736328
RSR,0.00019788742065429688
Standard,0.0003204345703125
RSR,0.00020766258239746094
Standard,0.0003132820129394531
RSR,0.00021457672119140625
Standard,0.0003032684326171875
RSR,0.00020074844360351562
Standard,5.060761127836244e-05
RSR,0.00018858909606933594
Standard,0.0006914516013259687
RSR,0.00019669532775878906
Standard,0.0003161430358886719
RSR,0.00021028518676757812
Standard,0.00011348724365234375
RSR,0.00022792816162109375
Standard,0.00014513644954814987
RSR,0.00021028518676757812
Standard,0.0003235340118408203
RSR,0.00019431114196777344
Standard,0.0004010200500488281
RSR,0.0002071857452392578
Standard,0.00037097930908203125
RSR,0.0002071857452392578
Standard,0.000457851409157515
RSR,0.00019884109497070312
Standard,0.00032067298889160156
RSR,0.00022077560424804688
Standard,0.0003432911143421369
RSR,0.00020360946655273438
Standard,0.00038886070251464844
RSR,0.00023055076599121094
Standard,0.0003592967987060547
RSR,0.00022220611572265625
Standard,0.00036334991455078125
RSR,0.00022172927856445312
Standard,0.00013171819856735222
RSR,0.0001780986785888672
Standard,6.325084887499166e-06
RSR,0.0002009868621826172
Standard,0.0003070831298828125
RSR,0.00028777122497558594
Standard,0.0003540515899658203
RSR,0.00019693374633789062
Standard,0.000324249267578125
RSR,0.00020241737365722656
Standard,0.00032520294189453125
RSR,0.0002193450927734375
Standard,0.0003299713134765625
RSR,0.00019502639770507812
Standard,0.0003960132598876953
RSR,0.00018453598022460938
Standard,0.000859531337481687
RSR,0.0001990795135498047
Standard,0.0002791881561279297
RSR,0.0002129077911376953
Standard,0.0003521442413330078
RSR,0.00019693374633789062
Standard,0.0003094673156738281
RSR,0.00023126602172851562
Standard,0.0003662109375
RSR,0.00021910667419433594
Standard,0.0003542900085449219
RSR,0.00023484230041503906
Standard,7.139702893541821e-06
RSR,0.0001888275146484375
Standard,0.0002079010009765625
RSR,0.00018930435180664062
Standard,0.00036406517028808594
RSR,0.00022840499877929688
Standard,0.0005927098302970983
RSR,0.00023746490478515625
Standard,0.0003845691680908203
RSR,0.00020003318786621094
Standard,0.0003304481506347656
RSR,0.00019502639770507812
Standard,0.0003299713134765625
RSR,0.00020837783813476562
Standard,0.0003211498260498047
RSR,0.000209808349609375
Standard,0.0004876293708154952
RSR,0.00020003318786621094
Standard,0.00023080183571093672
RSR,0.00021409988403320312
Standard,0.00040586106901931905
RSR,0.00023317337036132812
Standard,0.0003292560577392578
RSR,0.00019788742065429688
Standard,0.0004436969757080078
RSR,0.0002448558807373047
Standard,0.000392913818359375
RSR,0.0001926422119140625
Standard,0.0004770866249771722
RSR,0.00019931793212890625
Standard,0.0003353333925742389
RSR,0.00018286705017089844
Standard,0.0003285408020019531
RSR,0.00022459030151367188
Standard,0.0003917217254638672
RSR,0.0002300739288330078
Standard,0.00033941145229437564
RSR,0.0002639293670654297
Standard,0.0003151893615722656
RSR,0.0002295970916748047
Standard,0.00034809112548828125
RSR,0.00020766258239746094
Standard,0.0003268718719482422
RSR,0.0001780986785888672
Standard,0.0003056526184082031
RSR,0.00018525123596191406
Standard,0.0002887248992919922
RSR,0.0002541542053222656
Standard,0.0003619194030761719
RSR,0.0002186298370361328
Standard,0.0003635883331298828
RSR,0.000202178955078125
Standard,0.0003116130828857422
RSR,0.00021910667419433594
Standard,0.00014168643562572104
RSR,0.00020551681518554688
Standard,6.355795592465574e-06
RSR,0.0001964569091796875
Standard,0.0005571000359368033
RSR,0.0002162456512451172
Standard,0.00033783912658691406
RSR,0.00019550323486328125
Standard,0.0003154277801513672
RSR,0.0001964569091796875
Standard,0.0003230571746826172
RSR,0.000202178955078125
Standard,0.000400543212890625
RSR,0.00020265579223632812
Standard,0.0003535747528076172
RSR,0.00019550323486328125
Standard,0.0004105567932128906
RSR,0.00028777122497558594
Standard,0.0003662109375
RSR,0.0002579689025878906
Standard,0.0002560615539550781
RSR,0.0002491474151611328
Standard,0.0003345012664794922
RSR,0.0002028942108154297
Standard,0.00021002947961100982
RSR,0.0001971721649169922
Standard,0.0003273487091064453
RSR,0.0003743171691894531
Standard,0.0003528594970703125
RSR,0.00021147727966308594
Standard,0.0002608250832282084
RSR,0.0002579689025878906
Standard,0.00031566619873046875
RSR,0.00018930435180664062
Standard,0.00030797391503775196
RSR,0.00020074844360351562
Standard,0.0003173351287841797
RSR,0.0002448558807373047
Standard,0.00014115585806898356
RSR,0.00024127960205078125
Standard,0.0003230571746826172
RSR,0.0002315044403076172
Standard,0.0004456043243408203
RSR,0.0002040863037109375
Standard,0.0004220008850097656
RSR,0.0001823902130126953
Standard,0.0009630293266006018
RSR,0.00018405914306640625
Standard,0.000982024976229922
RSR,0.00020003318786621094
Standard,0.0004036426544189453
RSR,0.00020885467529296875
Standard,0.0003390312194824219
RSR,0.00023651123046875
Standard,0.000347137451171875
RSR,0.00022220611572265625
Standard,0.0003383159637451172
RSR,0.0001964569091796875
Standard,0.0003320964468455502
RSR,0.0002067089080810547
Standard,0.0002789497375488281
RSR,0.0001838207244873047
Standard,0.0002758502960205078
RSR,0.0001933574676513672
Standard,0.00020233059898547921
RSR,0.00020170211791992188
Standard,0.0003237724304199219
RSR,0.00020599365234375
Standard,0.0003094673156738281
RSR,0.00020313262939453125
Standard,0.0002487191201882639
RSR,0.00020170211791992188
Standard,0.0003712177276611328
RSR,0.00018286705017089844
Standard,0.0007291142205416487
RSR,0.00019359588623046875
Standard,7.20591902292249e-05
RSR,0.0002071857452392578
Standard,0.00035771084743080404
RSR,0.00021123886108398438
Standard,0.00031065940856933594
RSR,0.00022792816162109375
Standard,0.0003223419189453125
RSR,0.00022149085998535156
Standard,0.00031256675720214844
RSR,0.00019931793212890625
Standard,0.0003236424892750888
RSR,0.00019288063049316406
Standard,0.0007268578832637964
RSR,0.00017952919006347656
Standard,0.0008370504179313516
RSR,0.00020122528076171875
Standard,0.0003376007080078125
RSR,0.000202178955078125
Standard,0.0002750307551482385
RSR,0.00019884109497070312
Standard,0.00036263465881347656
RSR,0.00022292137145996094
Standard,0.00010466575622558594
RSR,0.00019621849060058594
Standard,0.00031828880310058594
RSR,0.00019812583923339844
Standard,0.00028014183044433594
RSR,0.0001919269561767578
Standard,0.0007470274343587406
RSR,0.00019931793212890625
Standard,0.00029011351455908994
RSR,0.00020694732666015625
Standard,0.00032067298889160156
RSR,0.00022602081298828125
Standard,0.0003714561462402344
RSR,0.0001983642578125
Standard,0.0003025531768798828
RSR,0.0003142356872558594
Standard,0.0003364086151123047
RSR,0.00019884109497070312
Standard,0.0002493858337402344
RSR,0.0001819133758544922
Standard,0.0002465248107910156
RSR,0.00021648406982421875
Standard,0.000928277798148613
RSR,0.00024771690368652344
Standard,0.0002415545661518439
RSR,0.00019502639770507812
Standard,0.00033354759216308594
RSR,0.0001938343048095703
Standard,0.00032639503479003906
RSR,0.00021409988403320312
Standard,0.0003485679626464844
RSR,0.0001766681671142578
Standard,0.00023865699768066406
RSR,0.0001819133758544922
Standard,0.0007156152653016596
RSR,0.00020384788513183594
Standard,0.0003311634063720703
RSR,0.00019693374633789062
Standard,5.609594444388399e-05
RSR,0.0002086162567138672
Standard,0.0003180503845214844
RSR,0.00022101402282714844
Standard,0.0003116130828857422
RSR,0.00019860267639160156
Standard,0.0003037452697753906
RSR,0.00020360946655273438
Standard,9.179115295410156e-05
RSR,0.00018525123596191406
Standard,0.0007580355699147287
RSR,0.00019621849060058594
Standard,6.279836481066237e-05
RSR,0.00020551681518554688
Standard,0.0007379540341701339
RSR,0.00020194053649902344
Standard,0.0006786568737240582
RSR,0.00024580955505371094
Standard,0.0003151893615722656
RSR,0.00019931793212890625
Standard,0.0003667807626509236
RSR,0.00018024444580078125
Standard,0.0003075599670410156
RSR,0.000194549560546875
Standard,0.00016479661548178748
RSR,0.00024509429931640625
Standard,9.632110595703125e-05
RSR,0.0002052783966064453
Standard,0.0007860514506672514
RSR,0.0002472400665283203
Standard,0.00033545494079589844
RSR,0.000202178955078125
Standard,0.0003132820129394531
RSR,0.00021386146545410156
Standard,0.00010895729064941406
RSR,0.00021076202392578125
Standard,0.00030517578125
RSR,0.0001819133758544922
Standard,0.0001415837341840578
RSR,0.00023674964904785156
Standard,0.0007385115897425014
RSR,0.00023126602172851562
Standard,0.0008435389558103508
RSR,0.00025081634521484375
Standard,0.0003657341003417969
RSR,0.00020122528076171875
Standard,0.0004153251647949219
RSR,0.00020051002502441406
Standard,0.0009652640015248276
RSR,0.0001804828643798828
Standard,0.00023221969604492188
RSR,0.0001819133758544922
Standard,0.0002791881561279297
RSR,0.00023746490478515625
Standard,0.0003559589385986328
RSR,0.00019884109497070312
Standard,0.0003075599670410156
RSR,0.00020122528076171875
Standard,0.00031638145446777344
RSR,0.00020194053649902344
Standard,0.00033545494079589844
